latitude,longitude,terrain
10.0069921,76.3735699,"boundary wall,road"
10.0069916,76.3736082,road
10.0070513,76.3733353,"boundary wall,road"
10.0070688,76.373379,road
10.0070452,76.3733436,"boundary wall,road"
10.0070434,76.3733426,road
10.0070422,76.3733419,"boundary wall,road"
10.0070571,76.373353,road
10.0070924,76.3733762,"boundary wall,road"
10.0080234,76.4833092,road
10.0071138,76.3733843,"boundary wall,road"
10.0071176,76.3733856,road
10.0071939,76.3735066,"boundary wall,road"
10.0071955,76.3735109,road
10.0072157,76.3735401,"boundary wall,road"
10.0072236,76.3735475,road
10.0072387,76.3735557,"boundary wall,road"
10.0072564,76.3735643,road
10.0072696,76.373571,"boundary wall,road"
10.0072746,76.3735744,road
10.0073008,76.3735944,"boundary wall,road"
10.0073072,76.3736,road
10.0073072,76.3736069,"boundary wall,road"
10.0073076,76.3736104,road
10.0073122,76.3736207,"boundary wall,road"
10.007283,76.3736258,road
10.0072696,76.3736492,"boundary wall,road"
10.007266,76.3736515,road
10.0072407,76.3736338,"boundary wall,road"
10.0072314,76.3736311,road
10.0072046,76.3736214,"boundary wall,road"
10.007196,76.3736218,road
10.0071766,76.3736256,"boundary wall,road"
10.0071808,76.3736248,road
10.0071883,76.3736259,"boundary wall,road"
10.0071889,76.3736272,road
10.007188,76.3736329,"boundary wall,road"
10.0071854,76.373636,road
10.0072046,76.373655,"boundary wall,road"
10.0072023,76.373655,road
10.0071896,76.3736498,"boundary wall,road"
12.0075892,75.372934,road
10.0071841,76.373645,"boundary wall,road"
10.0071842,76.3736415,road
10.0071879,76.3736358,"boundary wall,road"
10.0071924,76.373619,road
10.0072008,76.3736162,"boundary wall,road"
10.0072009,76.3736175,road
10.0072763,76.37355,"boundary wall,road"
10.0072725,76.3735541,road
10.0072734,76.3735839,"boundary wall,road"
10.0072777,76.3735828,road
10.0073299,76.3735794,"boundary wall,road"
10.0073279,76.3735792,road
10.0073403,76.3735658,"boundary wall,road"
10.007331,76.3735465,road
10.0071999,76.3737963,"boundary wall,road"
10.0071166,76.373866,road
10.0070555,76.3738335,"boundary wall,road"
10.0069673,76.3739257,road
10.0066597,76.3740669,"boundary wall,road"
10.0064289,76.3739923,road
10.0055107,76.374074,"boundary wall,road"
10.0053456,76.3741338,road
10.005042,76.3740155,"boundary wall,road"
10.0050196,76.3738476,road
10.0048249,76.3733265,"boundary wall,road"
10.0047433,76.3731021,road
10.0042774,76.3724163,"boundary wall,road"
10.004033,76.3720908,road
10.0035548,76.3710035,"boundary wall,road"
10.0035359,76.3706933,road
10.0035859,76.3705868,"boundary wall,road"
10.0036048,76.3705565,road
10.0035786,76.3705477,"boundary wall,road"
10.0035761,76.3705555,road
10.0038392,76.3702895,"boundary wall,road"
10.004111,76.3700092,road
10.0046943,76.3693715,"boundary wall,road"
10.0049034,76.369176,road
10.0055205,76.3685339,"boundary wall,road"
10.005793,76.3683252,road
10.0063157,76.3674843,"boundary wall,road"
10.0064317,76.3672708,road
10.0070756,76.3668305,"boundary wall,road"
10.0073088,76.3667333,road
10.0082883,76.3665314,"boundary wall,road"
10.0086228,76.3665962,road
10.0095374,76.366483,"boundary wall,road"
10.0098837,76.3662327,road
10.010913,76.3658132,"boundary wall,road"
10.0111719,76.3657005,road
10.0120807,76.3652423,"boundary wall,road"
10.0123768,76.3650745,road
10.0134881,76.3644509,"boundary wall,road"
10.0138488,76.3643469,road
10.01495,76.3640006,"boundary wall,road"
10.0151883,76.3638417,road
10.0150012,76.3631488,"boundary wall,road"
10.014862,76.3630281,road
10.015326,76.3624284,"boundary wall,road"
10.0155851,76.3622623,road
10.0160614,76.3615723,"boundary wall,road"
10.0161496,76.3613075,road
10.0163512,76.3603802,"boundary wall,road"
10.016293,76.3601213,road
10.0161593,76.3593323,"boundary wall,road"
10.0161304,76.3591199,road
10.0161233,76.3587529,"boundary wall,road"
10.0160513,76.3584963,road
10.0159448,76.357806,"boundary wall,road"
10.0158997,76.3575614,road
10.0157438,76.3569779,"boundary wall,road"
10.015706,76.3567756,road
10.0155917,76.3565097,"boundary wall,road"
10.0155456,76.3563418,road
10.0154422,76.3557624,"boundary wall,road"
10.0154265,76.355491,road
10.0154152,76.355124,"boundary wall,road"
10.0154067,76.3549693,road
10.0154155,76.3547314,"boundary wall,road"
10.0154596,76.3544274,road
10.0158783,76.3536529,"boundary wall,road"
10.0159884,76.3532868,road
10.0162496,76.352561,"boundary wall,road"
10.0164509,76.3524131,road
10.0172282,76.3517407,"boundary wall,road"
10.0173749,76.3515668,road
10.0174485,76.351381,"boundary wall,road"
10.0175761,76.3511581,road
10.0177251,76.3506824,"boundary wall,road"
10.0177521,76.3506078,road
10.0178835,76.3503074,"boundary wall,road"
10.0179311,76.3502142,road
10.0179661,76.3498918,"boundary wall,road"
10.0179577,76.3498808,road
10.0179334,76.3498641,"boundary wall,road"
10.0179244,76.3499067,road
10.0179204,76.3498932,"boundary wall,road"
10.0179256,76.3498833,road
10.0179375,76.3498755,"boundary wall,road"
10.0179379,76.3498754,road
10.0179442,76.3498713,"boundary wall,road"
10.0179458,76.3498707,road
10.0179489,76.3498659,"boundary wall,road"
10.0179489,76.3498657,road
10.017952,76.3498599,"boundary wall,road"
10.017954,76.3498572,road
10.0179551,76.3498556,"boundary wall,road"
10.0179553,76.3498547,road
10.017956,76.3498518,"boundary wall,road"
10.017958,76.34985,road
10.0179606,76.3498481,"boundary wall,road"
10.0179608,76.3498479,road
10.0179619,76.3498463,"boundary wall,road"
10.0179621,76.3498461,road
10.0179648,76.3498425,"boundary wall,road"
10.0179649,76.3498424,road
10.0179649,76.349844,"boundary wall,road"
10.0179649,76.3498442,road
10.0179542,76.3498339,"boundary wall,road"
10.0179453,76.3498292,road
10.0179365,76.3498176,"boundary wall,road"
10.0179374,76.3498066,road
10.0179421,76.3497948,"boundary wall,road"
10.0179432,76.3497914,road
10.017945,76.3497815,"boundary wall,road"
10.0179453,76.3497769,road
10.0179421,76.349758,"boundary wall,road"
10.0179426,76.3497549,road
10.0179395,76.3497356,"boundary wall,road"
10.0179392,76.3497313,road
10.017932,76.3497075,"boundary wall,road"
10.0179309,76.3496958,road
10.0178897,76.3496703,"boundary wall,road"
10.0178647,76.3496657,road
10.017826,76.3496451,"boundary wall,road"
10.017827,76.3496399,road
10.0178113,76.3496182,"boundary wall,road"
10.0178065,76.3496155,road
10.0178364,76.3495978,"boundary wall,road"
10.0178356,76.3495954,road
10.0178312,76.3495837,"boundary wall,road"
10.0178253,76.3495701,road
10.0178168,76.3495441,"boundary wall,road"
10.0178108,76.3495373,road
10.0178207,76.3495148,"boundary wall,road"
10.0178272,76.3495072,road
10.0178296,76.3494899,"boundary wall,road"
10.017829,76.3494824,road
10.0178251,76.3494512,"boundary wall,road"
10.0178238,76.3494466,road
10.0178054,76.3494344,"boundary wall,road"
10.0177984,76.3494292,road
10.01778,76.3494064,"boundary wall,road"
10.0177757,76.3494014,road
10.0177036,76.3493994,"boundary wall,road"
10.0176989,76.3493945,road
10.0176699,76.3493779,"boundary wall,road"
10.0176635,76.3493767,road
10.0176459,76.3493683,"boundary wall,road"
10.0176413,76.3493649,road
10.0176199,76.3493593,"boundary wall,road"
10.0176204,76.3493617,road
10.0176389,76.3493729,"boundary wall,road"
10.017645,76.3493773,road
10.0176686,76.3493905,"boundary wall,road"
10.0176737,76.3493933,road
10.0176938,76.3494045,"boundary wall,road"
10.0176991,76.3494075,road
10.0177128,76.349436,"boundary wall,road"
10.0177166,76.3494396,road
10.0177292,76.3494541,"boundary wall,road"
10.0177333,76.3494601,road
10.0177372,76.3494824,"boundary wall,road"
10.0177375,76.3494913,road
10.0177471,76.3495162,"boundary wall,road"
10.0177613,76.3495297,road
10.0177795,76.3495383,"boundary wall,road"
10.0177883,76.3495484,road
10.0178146,76.3495656,"boundary wall,road"
10.0178192,76.3495677,road
10.017824,76.349588,"boundary wall,road"
10.0178299,76.3495979,road
10.0178124,76.349662,"boundary wall,road"
10.0178171,76.3496699,road
10.0178462,76.3496857,"boundary wall,road"
10.017855,76.3496864,road
10.0178925,76.349683,"boundary wall,road"
10.0179038,76.3496819,road
10.0179314,76.349684,"boundary wall,road"
10.0179517,76.3496888,road
10.0179698,76.3497005,"boundary wall,road"
10.0179741,76.3497042,road
10.017985,76.3497165,"boundary wall,road"
10.0179866,76.3497187,road
10.0179599,76.3497265,"boundary wall,road"
10.0179595,76.3497226,road
